Gene,Score
ABCA2,0.8292339
HSPG2,0.82916087
MED1,0.829115
DOCK7,0.8287721
GSPT2,0.8283884
CR1,0.8280277
PPM1D,0.82786846
CHEK1,0.82767296
TIAM2,0.8276363
RAD21,0.8276217
IBTK,0.8273301
APCDD1,0.82700014
SATB2,0.82696474
NDC80,0.8269473
COL2A1,0.82669985
FRZB,0.8264549
FZD9,0.82630396
BECN1,0.82592124
RECK,0.8252441
CD19,0.8247582
NR1H4,0.82462204
CTNNBIP1,0.82460934
GNB2,0.8243514
AR,0.8241834
WNT3A,0.82405466
TENM4,0.8238369
PSEN1,0.823796
EWSR1,0.8237747
G3BP1,0.82336247
PML,0.8231067
PDE4D,0.8230671
HDAC4,0.82302517
ITGA2,0.8229918
FNBP1L,0.8228857
ITGA1,0.822688
DNA2,0.82204306
SP1,0.8219123
WNT16,0.82143044
LYST,0.82134986
GRIN2B,0.82094926
TCF12,0.8209389
MYH15,0.8209371
NCAPD3,0.8205776
ZBTB16,0.82045394
DGKB,0.820036
DUSP8,0.8195835
ZNF536,0.81956625
FZD3,0.8195491
FGF4,0.8194543
CNTNAP1,0.8191675
PROKR1,0.8189507
PRKACG,0.8189357
VTN,0.81870854
KY,0.8186086
BRD4,0.81798446
JMJD1C,0.81781656
MDC1,0.8176829
DLGAP4,0.81762516
EIF4ENIF1,0.8173161
PPP1R13B,0.81730026
HCN4,0.81713516
HIVEP2,0.81651115
MLX,0.81627065
TNFRSF11B,0.8162649
LRIF1,0.81610024
ADGRL2,0.8160361
PCDHA3,0.81582546
TNNT1,0.81568104
ITGB5,0.8150054
SHANK1,0.8149695
PCDHB13,0.8146361
STAT5A,0.81461436
DENND1A,0.8145643
MAPKAPK5,0.8142414
WWP2,0.81402105
ZBED4,0.81400216
BAZ1B,0.81397116
NAV2,0.81357473
RPS6KA4,0.8135338
MAST2,0.81352675
CUBN,0.8134863
TLE1,0.81346965
RTL1,0.81331
IGHA2,0.8132133
ERCC1,0.8125806
KAT5,0.8124998
EXOC3,0.81215316
PLEKHH2,0.8120738
C4BPA,0.81138897
KIF1A,0.81124735
HTR1E,0.81121624
ELK4,0.81092745
PIK3C2B,0.8105993
SPTB,0.81050026
CCNB1,0.81045085
MYO7B,0.80980635
RBM39,0.8092343
SORBS1,0.80916816
SYNCRIP,0.8090896
ENOX2,0.80885243
CDC25A,0.80842155
USP4,0.8083866
ZNF8,0.8079868
MMRN1,0.80753225
SNRNP200,0.8074028
PTPRJ,0.80732334
TRPC3,0.807323
CREBZF,0.8072303
LEPR,0.80705136
ATXN3,0.80676055
ATN1,0.80670553
HNF4A,0.80668586
GRIN1,0.8064471
HIRA,0.80625737
PDE4DIP,0.80603564
OGN,0.80601937
XDH,0.8052893
PPARGC1A,0.8046728
KLF4,0.8043097
CDK7,0.80419624
MEIS2,0.8040857
NAV1,0.8040663
CNTN1,0.80398035
KDM4C,0.8039569
PPP2R2C,0.80379516
LAMA3,0.8036011
TGFBR3,0.80331445
